№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
421,SOME WAYS EMERGING ADULTS ARE SHAPING THE FUTURE OF RELIGION ANDSCIENCE,Greg Cootsona,Zygon®,"Volume 51, Issue 3",First published:10 August 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12270
422,The ‘borderlands’ of thescience–policy interface,"Gary Kass, Alice M Milner, Klaus Dodds",The Geographical Journal,"Volume 188, Issue 4",First published:01 August 2022,https://onlinelibrary.wiley.com/doi/10.1111/geoj.12469
423,SCIENCEAND GOD THE CREATOR,Arthur Peacocke,Zygon®,"Volume 28, Issue 4",First published:December 1993,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1993.tb01051.x
424,Cultures of care? Animals andsciencein Britain,"Carrie Friese, Nathalie Nuyts, Juan Pablo Pardo-Guerra",The British Journal of Sociology,"Volume 70, Issue 5",First published:04 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/1468-4446.12706
425,Questions for a Millennium: Religion andSciencefrom the Perspective of aScientist,Solomon H. Katz,Zygon®,"Volume 37, Issue 1",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/1467-9744.00410
426,"Science, Schooling and Experiential Learning in Pacoima",Carl A. Maida,Anthropology of Work Review,"Volume 26, Issue 2",First published:28 June 2008,https://onlinelibrary.wiley.com/doi/10.1525/awr.2005.26.2.16
427,Emmanuel Levinas and the NewScienceof Judaism,Michael Sohn,Journal of Religious Ethics,"Volume 41, Issue 4",First published:10 October 2013,https://onlinelibrary.wiley.com/doi/10.1111/jore.12035
428,"Citizensciencepromotes knowledge,skillsand collective action to monitor and protect freshwater streams","Julia von Gönner, Torsten Masson, Sabrina Köhler, Immo Fritsche, Aletta Bonn",People and Nature,"Volume 6, Issue 6",First published:01 November 2024,https://onlinelibrary.wiley.com/doi/10.1002/pan3.10714
429,Religion v.Science? No and Yes,John H. Evans,Hastings Center Report,"Volume 55, Issue 1",First published:05 March 2025,https://onlinelibrary.wiley.com/doi/10.1002/hast.4953
430,An Emerging New Risk AnalysisScience: Foundations and Implications,Terje Aven,Risk Analysis,"Volume 38, Issue 5",First published:07 September 2017,https://onlinelibrary.wiley.com/doi/10.1111/risa.12899
431,"Gender, complexity, andsciencefor all: Systemizing and its impact on motivation to learnsciencefor differentsciencesubjects",Albert Zeyer,Journal of Research inScienceTeaching,"Volume 55, Issue 2",First published:22 July 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21413
432,Is There EnoughSciencefor Conservation Action?,"Ramanan U. Shaanker, Kotiganahalli N. Ganeshaiah",Biotropica,"Volume 42, Issue 5",First published:26 August 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2010.00690.x
433,Sciencefor what public? Addressing equity in Americansciencemuseums andsciencecenters,"Noah Weeth Feinstein, David Meshoulam",Journal of Research inScienceTeaching,"Volume 51, Issue 3",First published:13 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/tea.21130
434,Cornell College: Program inScienceand Religion,William E.  Carroll,Zygon®,"Volume 33, Issue 2",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00146
435,Scienceand the Victorian Novel,,N/A,N/A,First published:01 January 2002,https://onlinelibrary.wiley.com/doi/10.1002/9780470690109.ch7
436,Augmenting the Grammar ofScience—The CommunityScienceExchange,"Kevin J. Noone, Jean J. Schensul, Paula R. Buchanan",CommunityScience,"Volume 1, Issue 2",First published:17 June 2022,https://onlinelibrary.wiley.com/doi/10.1029/2022CSJ000012
437,The continuity of inquiry and normative philosophy ofscience,Somogy Varga,Metaphilosophy,"Volume 52, Issue 5",First published:01 September 2021,https://onlinelibrary.wiley.com/doi/10.1111/meta.12513
438,ISLAM ANDSCIENCE: THE NEXT PHASE OF DEBATES,"by
 Nidhal Guessoum",Zygon®,"Volume 50, Issue 4",First published:13 November 2015,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12213
439,The Dialogue Between Religion andScience: Which God?,K. Helmut Reich,Zygon®,"Volume 35, Issue 1",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00262
440,RELIGIOUS LITERALISM ANDSCIENCE-RELATED ISSUES IN CONTEMPORARY ISLAM,Nidhal Guessoum,Zygon®,"Volume 45, Issue 4",First published:14 November 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2010.01135.x
441,"History of Organic–Inorganic Hybrid Materials: Prehistory, Art,Science, and Advanced Applications","Marco Faustini, Lionel Nicole, Eduardo Ruiz-Hitzky, Clément Sanchez",Advanced Functional Materials,"Volume 28, Issue 27",First published:14 April 2018,https://onlinelibrary.wiley.com/doi/10.1002/adfm.201704158
442,How InvokingSciencein the Production Process of Geographical Indication Products Impacts Consumer's Perceived Authenticity and Product Valuation,"Hui Li, Ruiqing Li, Zhilin Yang, Liyin Jin",Psychology & Marketing,Early View,First published:10 March 2025,https://onlinelibrary.wiley.com/doi/10.1002/mar.22209
443,"SECULARITY, SYNCHRONICITY, AND UNCANNYSCIENCE: CONSIDERATIONS AND CHALLENGES",Hussein Ali Agrama,Zygon®,"Volume 56, Issue 2",First published:16 December 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12671
444,Scienceas a map in technological search,"Lee Fleming, Olav Sorenson",Strategic Management Journal,"Volume 25, Issue 8-9",First published:20 July 2004,https://onlinelibrary.wiley.com/doi/10.1002/smj.384
445,"RETHINKING THE SECULAR:SCIENCE, TECHNOLOGY, AND RELIGION TODAY",Bronislaw Szerszynski,Zygon®,"Volume 40, Issue 4",First published:25 November 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00709.x
446,Representations of Nature ofSciencein Selected Histories ofSciencein the IntegratedScienceTextbooks in China,"Bing Wei, Yue Li, Bo Chen",SchoolScienceand Mathematics,"Volume 113, Issue 4",First published:05 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12013
447,A cultural-historical study of how educators create conditions for infant and toddler learning inscience,"Marilyn Fleer, Sue March, Anne Suryani",ScienceEducation,"Volume 108, Issue 6",First published:01 June 2024,https://onlinelibrary.wiley.com/doi/10.1002/sce.21886
448,Are students in Italy really disinterested inscience? A person-centered approach using the PISA 2015 data,"Jelena Radišić, Patrizia Selleri, Felice Carugati, Aleksandar Baucal",ScienceEducation,"Volume 105, Issue 2",First published:07 January 2021,https://onlinelibrary.wiley.com/doi/10.1002/sce.21611
449,Alemmascienceof mind: the potential of theKegon (Flower Ornament) Sutra,Shin'ichi Nakazawa,Journal of Analytical Psychology,"Volume 62, Issue 1",First published:16 January 2017,https://onlinelibrary.wiley.com/doi/10.1111/1468-5922.12283
450,"Weberian perspectives onscience, technology and the economy","Ralph Schroeder, Richard Swedberg",The British Journal of Sociology,"Volume 53, Issue 3",First published:15 December 2003,https://onlinelibrary.wiley.com/doi/10.1080/0007131022000000563
451,"Nursing, art andscience: Revisiting the Two Cultures","Philip Darbyshire RNMH, RSCN, DipN(Lond.), RNT, MN, PhD",International Journal of Nursing Practice,"Volume 5, Issue 3",First published:24 December 2001,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-172x.1999.00127.x
452,Sciencenews stories as boundary objects affecting engagement withscience,"Joseph L. Polman, Jennifer M.G. Hope",Journal of Research inScienceTeaching,"Volume 51, Issue 3",First published:30 January 2014,https://onlinelibrary.wiley.com/doi/10.1002/tea.21144
453,PolarizedScientists? Exploring Political Differences about Religion andScienceamong U.S. Biologists and Physicists,"Sharan Kaur Mehta, Robert A. Thomson, Elaine Howard Ecklund",Sociological Forum,"Volume 36, Issue 1",First published:27 October 2020,https://onlinelibrary.wiley.com/doi/10.1111/socf.12661
454,Data-logging: effects on practicalscience,"L. Rogers, P. Wild",Journal of Computer Assisted Learning,"Volume 12, Issue 3",First published:September 1996,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2729.1996.tb00046.x
455,Two Key Differences betweenScienceand Philosophy,Andrew M. Cavallo,Metaphilosophy,"Volume 45, Issue 1",First published:13 January 2014,https://onlinelibrary.wiley.com/doi/10.1111/meta.12067
456,“Doing Gender” and “Doing Religion” inScience: A Cross-National Examination,"Robert A. Thomson, Sharan Kaur Mehta, Elaine Howard Ecklund",Journal for the Scientific Study of Religion,"Volume 59, Issue 2",First published:28 April 2020,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12654
457,The role ofscienceidentity insciencecenter visits and effects,"Paichi P. Shein, John H. Falk, Yuh-Yuh Li",ScienceEducation,"Volume 103, Issue 6",First published:27 June 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21535
458,History and Philosophy ofScience. Zwischen Deskription und Konstruktion,Friedrich Stadler,Berichte zur Wissenschaftsgeschichte,"Volume 35, Issue 3",First published:31 August 2012,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201201552
459,Applying systems and complexityscienceto real patient care,Bruce Ramshaw MD,Journal of Evaluation in Clinical Practice,"Volume 26, Issue 5",First published:02 September 2020,https://onlinelibrary.wiley.com/doi/10.1111/jep.13442
460,Fruitful Interchange or Polite Chitchat? The Dialogue BetweenScienceand Theology,"William A.   Dembski, Stephen C.  Meyer",Zygon®,"Volume 33, Issue 3",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00158
461,"History of Organic–Inorganic Hybrid Materials: Prehistory, Art,Science, and Advanced Applications","Marco Faustini, Lionel Nicole, Eduardo Ruiz-Hitzky, Clément Sanchez",Advanced Functional Materials,"Volume 28, Issue 27",First published:14 April 2018,https://onlinelibrary.wiley.com/doi/10.1002/adfm.201704158
462,How InvokingSciencein the Production Process of Geographical Indication Products Impacts Consumer's Perceived Authenticity and Product Valuation,"Hui Li, Ruiqing Li, Zhilin Yang, Liyin Jin",Psychology & Marketing,Early View,First published:10 March 2025,https://onlinelibrary.wiley.com/doi/10.1002/mar.22209
463,"SECULARITY, SYNCHRONICITY, AND UNCANNYSCIENCE: CONSIDERATIONS AND CHALLENGES",Hussein Ali Agrama,Zygon®,"Volume 56, Issue 2",First published:16 December 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12671
464,Scienceas a map in technological search,"Lee Fleming, Olav Sorenson",Strategic Management Journal,"Volume 25, Issue 8-9",First published:20 July 2004,https://onlinelibrary.wiley.com/doi/10.1002/smj.384
465,"RETHINKING THE SECULAR:SCIENCE, TECHNOLOGY, AND RELIGION TODAY",Bronislaw Szerszynski,Zygon®,"Volume 40, Issue 4",First published:25 November 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00709.x
466,Representations of Nature ofSciencein Selected Histories ofSciencein the IntegratedScienceTextbooks in China,"Bing Wei, Yue Li, Bo Chen",SchoolScienceand Mathematics,"Volume 113, Issue 4",First published:05 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12013
467,A cultural-historical study of how educators create conditions for infant and toddler learning inscience,"Marilyn Fleer, Sue March, Anne Suryani",ScienceEducation,"Volume 108, Issue 6",First published:01 June 2024,https://onlinelibrary.wiley.com/doi/10.1002/sce.21886
468,Are students in Italy really disinterested inscience? A person-centered approach using the PISA 2015 data,"Jelena Radišić, Patrizia Selleri, Felice Carugati, Aleksandar Baucal",ScienceEducation,"Volume 105, Issue 2",First published:07 January 2021,https://onlinelibrary.wiley.com/doi/10.1002/sce.21611
469,Alemmascienceof mind: the potential of theKegon (Flower Ornament) Sutra,Shin'ichi Nakazawa,Journal of Analytical Psychology,"Volume 62, Issue 1",First published:16 January 2017,https://onlinelibrary.wiley.com/doi/10.1111/1468-5922.12283
470,"Weberian perspectives onscience, technology and the economy","Ralph Schroeder, Richard Swedberg",The British Journal of Sociology,"Volume 53, Issue 3",First published:15 December 2003,https://onlinelibrary.wiley.com/doi/10.1080/0007131022000000563
471,"Nursing, art andscience: Revisiting the Two Cultures","Philip Darbyshire RNMH, RSCN, DipN(Lond.), RNT, MN, PhD",International Journal of Nursing Practice,"Volume 5, Issue 3",First published:24 December 2001,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-172x.1999.00127.x
472,Sciencenews stories as boundary objects affecting engagement withscience,"Joseph L. Polman, Jennifer M.G. Hope",Journal of Research inScienceTeaching,"Volume 51, Issue 3",First published:30 January 2014,https://onlinelibrary.wiley.com/doi/10.1002/tea.21144
473,PolarizedScientists? Exploring Political Differences about Religion andScienceamong U.S. Biologists and Physicists,"Sharan Kaur Mehta, Robert A. Thomson, Elaine Howard Ecklund",Sociological Forum,"Volume 36, Issue 1",First published:27 October 2020,https://onlinelibrary.wiley.com/doi/10.1111/socf.12661
474,Data-logging: effects on practicalscience,"L. Rogers, P. Wild",Journal of Computer Assisted Learning,"Volume 12, Issue 3",First published:September 1996,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2729.1996.tb00046.x
475,Two Key Differences betweenScienceand Philosophy,Andrew M. Cavallo,Metaphilosophy,"Volume 45, Issue 1",First published:13 January 2014,https://onlinelibrary.wiley.com/doi/10.1111/meta.12067
476,“Doing Gender” and “Doing Religion” inScience: A Cross-National Examination,"Robert A. Thomson, Sharan Kaur Mehta, Elaine Howard Ecklund",Journal for the Scientific Study of Religion,"Volume 59, Issue 2",First published:28 April 2020,https://onlinelibrary.wiley.com/doi/10.1111/jssr.12654
477,The role ofscienceidentity insciencecenter visits and effects,"Paichi P. Shein, John H. Falk, Yuh-Yuh Li",ScienceEducation,"Volume 103, Issue 6",First published:27 June 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21535
478,History and Philosophy ofScience. Zwischen Deskription und Konstruktion,Friedrich Stadler,Berichte zur Wissenschaftsgeschichte,"Volume 35, Issue 3",First published:31 August 2012,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201201552
479,Applying systems and complexityscienceto real patient care,Bruce Ramshaw MD,Journal of Evaluation in Clinical Practice,"Volume 26, Issue 5",First published:02 September 2020,https://onlinelibrary.wiley.com/doi/10.1111/jep.13442
480,Fruitful Interchange or Polite Chitchat? The Dialogue BetweenScienceand Theology,"William A.   Dembski, Stephen C.  Meyer",Zygon®,"Volume 33, Issue 3",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00158
481,Scienceeducation and labor market outcomes in a developing economy,"Tarun Jain, Abhiroop Mukhopadhyay, Nishith Prakash, Raghav Rakesh",Economic Inquiry,"Volume 60, Issue 2",First published:16 October 2021,https://onlinelibrary.wiley.com/doi/10.1111/ecin.13044
482,“I'm just not that great atscience”:Scienceself-efficacy in arts and communication students,"Eileen McBride, W. Wyatt Oswald, Lindsey A. Beck, Amy Vashlishan Murray",Journal of Research inScienceTeaching,"Volume 57, Issue 4",First published:29 November 2019,https://onlinelibrary.wiley.com/doi/10.1002/tea.21603
483,New concepts ofscienceand medicine inscienceand technology studies and their relevance toscienceeducation,"Hsiu-Yun Wang, Joel F. Stocker, Daiwie Fu",The Kaohsiung Journal of MedicalSciences,"Volume 28, Issue 2S",First published:09 January 2012,https://onlinelibrary.wiley.com/doi/10.1016/j.kjms.2011.08.002
484,Sciencein the National Curriculum: an international perspective,"Graham Orpwood, John Barnett",The Curriculum Journal,"Volume 8, Issue 3",First published:28 July 2006,https://onlinelibrary.wiley.com/doi/10.1080/0958517970080302
485,Nightingale's realist philosophy ofscience,"Sam Porter RN, DipN, BSSc, PhD",Nursing Philosophy,"Volume 2, Issue 1",First published:07 January 2009,https://onlinelibrary.wiley.com/doi/10.1046/j.1466-769x.2001.00029.x
486,Empowerment through education andscience: three intersecting strands in the career of Griffith Edwards,Ilana Crome,Addiction,"Volume 110, Issue S2",First published:03 June 2015,https://onlinelibrary.wiley.com/doi/10.1111/add.12909
487,"THE QURʾĀN ANDSCIENCE, PART I: THE PREMODERN ERA",Majid Daneshgar,Zygon®,"Volume 58, Issue 4",First published:16 October 2023,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12931
488,THE MODERN STUDY OF MYTH AND ITS RELATION TOSCIENCE,Robert A. Segal,Zygon®,"Volume 50, Issue 3",First published:12 August 2015,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12198
489,“Anybody can doscienceif they're brave enough”: Understanding the role ofsciencecapital insciencemajors' identity trajectories into and through postsecondaryscience,"Allison J. Gonsalves, Alexandre Soares Cavalcante, Emily Diane Sprowls, Hailey Iacono",Journal of Research inScienceTeaching,"Volume 58, Issue 8",First published:13 May 2021,https://onlinelibrary.wiley.com/doi/10.1002/tea.21695
490,"Science, Egyptian",Annette Imhausen,N/A,N/A,First published:29 June 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21286.pub2
491,Co-created environmental healthscience: Identifying community questions and co-generating knowledge to supportsciencelearning,"Mónica D. Ramírez-Andreotta, Sanlyn Buxner, Shana Sandhaus",Journal of Research inScienceTeaching,"Volume 60, Issue 8",First published:22 June 2023,https://onlinelibrary.wiley.com/doi/10.1002/tea.21882
492,HUMAN INDIVIDUALITY AND THE GAP BETWEENSCIENCEAND RELIGION,Steven Reiss,Zygon®,"Volume 40, Issue 1",First published:23 March 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00649.x
493,"The Rehabilitation of Common Sense: Social Representations,Scienceand Cognitive Polyphasia",SANDRA JOVCHELOVITCH,Journal for the Theory of Social Behaviour,"Volume 38, Issue 4",First published:09 December 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5914.2008.00378.x
494,"Clinical Trials and ExperimentalScience, Bias Against Women in",Sue V. Rosser,N/A,N/A,First published:28 October 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss035
495,The Interdisciplinary Role of SoilSciencewithin the University EnvironmentalScienceArena,Ian L. Pepper,N/A,N/A,First published:01 June 1995,https://onlinelibrary.wiley.com/doi/10.2136/sssaspecpub45.c7
496,"U.S. College Students’ Perception of Religion andScience: Conflict, Collaboration, or Independence? A Research Note",Christopher P. Scheitle,Journal for the Scientific Study of Religion,"Volume 50, Issue 1",First published:02 March 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2010.01558.x
497,LifeSciencein Österreich,Kurt Hermann,Nachrichten aus der Chemie,"Volume 58, Issue 11",First published:12 November 2010,https://onlinelibrary.wiley.com/doi/10.1002/nadc.201076629
498,CitizenScienceim Kaiserreich. Die Systemstelle „Wertlose Einsendungen aus der Bevölkerung“ im Archiv der Berlin-Brandenburgischen Akademie der Wissenschaften,Markus Krajewski,Berichte zur Wissenschaftsgeschichte,"Volume 41, Issue 4",First published:07 December 2018,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201801917
499,"Institutionalizing foresight inscience, technology, and innovation in sub-Saharan Africa","John Ouma-Mugabe, Anthon Botha, Petrus Letaba",Development Policy Review,"Volume 42, Issue S1",First published:04 June 2024,https://onlinelibrary.wiley.com/doi/10.1111/dpr.12789
500,‘Be Creative and Have Fun’: elementary-aged children's digital and embodied composing inscience,"Rebecca Woodard, Amanda R. Diaz, Nathan C. Phillips, Maria Varelas, Rachelle Tsachor, Rebecca Kotler, Ronan Rock, Miguel Melchor",Literacy,"Volume 58, Issue 2",First published:14 March 2024,https://onlinelibrary.wiley.com/doi/10.1111/lit.12365
501,Scienceeducation and labor market outcomes in a developing economy,"Tarun Jain, Abhiroop Mukhopadhyay, Nishith Prakash, Raghav Rakesh",Economic Inquiry,"Volume 60, Issue 2",First published:16 October 2021,https://onlinelibrary.wiley.com/doi/10.1111/ecin.13044
502,“I'm just not that great atscience”:Scienceself-efficacy in arts and communication students,"Eileen McBride, W. Wyatt Oswald, Lindsey A. Beck, Amy Vashlishan Murray",Journal of Research inScienceTeaching,"Volume 57, Issue 4",First published:29 November 2019,https://onlinelibrary.wiley.com/doi/10.1002/tea.21603
503,New concepts ofscienceand medicine inscienceand technology studies and their relevance toscienceeducation,"Hsiu-Yun Wang, Joel F. Stocker, Daiwie Fu",The Kaohsiung Journal of MedicalSciences,"Volume 28, Issue 2S",First published:09 January 2012,https://onlinelibrary.wiley.com/doi/10.1016/j.kjms.2011.08.002
504,Sciencein the National Curriculum: an international perspective,"Graham Orpwood, John Barnett",The Curriculum Journal,"Volume 8, Issue 3",First published:28 July 2006,https://onlinelibrary.wiley.com/doi/10.1080/0958517970080302
505,Nightingale's realist philosophy ofscience,"Sam Porter RN, DipN, BSSc, PhD",Nursing Philosophy,"Volume 2, Issue 1",First published:07 January 2009,https://onlinelibrary.wiley.com/doi/10.1046/j.1466-769x.2001.00029.x
506,Empowerment through education andscience: three intersecting strands in the career of Griffith Edwards,Ilana Crome,Addiction,"Volume 110, Issue S2",First published:03 June 2015,https://onlinelibrary.wiley.com/doi/10.1111/add.12909
507,"THE QURʾĀN ANDSCIENCE, PART I: THE PREMODERN ERA",Majid Daneshgar,Zygon®,"Volume 58, Issue 4",First published:16 October 2023,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12931
508,THE MODERN STUDY OF MYTH AND ITS RELATION TOSCIENCE,Robert A. Segal,Zygon®,"Volume 50, Issue 3",First published:12 August 2015,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12198
509,“Anybody can doscienceif they're brave enough”: Understanding the role ofsciencecapital insciencemajors' identity trajectories into and through postsecondaryscience,"Allison J. Gonsalves, Alexandre Soares Cavalcante, Emily Diane Sprowls, Hailey Iacono",Journal of Research inScienceTeaching,"Volume 58, Issue 8",First published:13 May 2021,https://onlinelibrary.wiley.com/doi/10.1002/tea.21695
510,"Science, Egyptian",Annette Imhausen,N/A,N/A,First published:29 June 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781444338386.wbeah21286.pub2
511,Co-created environmental healthscience: Identifying community questions and co-generating knowledge to supportsciencelearning,"Mónica D. Ramírez-Andreotta, Sanlyn Buxner, Shana Sandhaus",Journal of Research inScienceTeaching,"Volume 60, Issue 8",First published:22 June 2023,https://onlinelibrary.wiley.com/doi/10.1002/tea.21882
512,HUMAN INDIVIDUALITY AND THE GAP BETWEENSCIENCEAND RELIGION,Steven Reiss,Zygon®,"Volume 40, Issue 1",First published:23 March 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00649.x
513,"The Rehabilitation of Common Sense: Social Representations,Scienceand Cognitive Polyphasia",SANDRA JOVCHELOVITCH,Journal for the Theory of Social Behaviour,"Volume 38, Issue 4",First published:09 December 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5914.2008.00378.x
514,"Clinical Trials and ExperimentalScience, Bias Against Women in",Sue V. Rosser,N/A,N/A,First published:28 October 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118663219.wbegss035
515,The Interdisciplinary Role of SoilSciencewithin the University EnvironmentalScienceArena,Ian L. Pepper,N/A,N/A,First published:01 June 1995,https://onlinelibrary.wiley.com/doi/10.2136/sssaspecpub45.c7
516,"U.S. College Students’ Perception of Religion andScience: Conflict, Collaboration, or Independence? A Research Note",Christopher P. Scheitle,Journal for the Scientific Study of Religion,"Volume 50, Issue 1",First published:02 March 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-5906.2010.01558.x
517,LifeSciencein Österreich,Kurt Hermann,Nachrichten aus der Chemie,"Volume 58, Issue 11",First published:12 November 2010,https://onlinelibrary.wiley.com/doi/10.1002/nadc.201076629
518,CitizenScienceim Kaiserreich. Die Systemstelle „Wertlose Einsendungen aus der Bevölkerung“ im Archiv der Berlin-Brandenburgischen Akademie der Wissenschaften,Markus Krajewski,Berichte zur Wissenschaftsgeschichte,"Volume 41, Issue 4",First published:07 December 2018,https://onlinelibrary.wiley.com/doi/10.1002/bewi.201801917
519,"Institutionalizing foresight inscience, technology, and innovation in sub-Saharan Africa","John Ouma-Mugabe, Anthon Botha, Petrus Letaba",Development Policy Review,"Volume 42, Issue S1",First published:04 June 2024,https://onlinelibrary.wiley.com/doi/10.1111/dpr.12789
520,‘Be Creative and Have Fun’: elementary-aged children's digital and embodied composing inscience,"Rebecca Woodard, Amanda R. Diaz, Nathan C. Phillips, Maria Varelas, Rachelle Tsachor, Rebecca Kotler, Ronan Rock, Miguel Melchor",Literacy,"Volume 58, Issue 2",First published:14 March 2024,https://onlinelibrary.wiley.com/doi/10.1111/lit.12365
521,Where civics meetsscience: buildingsciencefor the public good through CivicScience,"JA Garlick, P Levine",Oral Diseases,"Volume 23, Issue 6",First published:07 July 2016,https://onlinelibrary.wiley.com/doi/10.1111/odi.12534
522,"Cultural Schemas of Religion,Science, and Law in Talk About Social Controversies","Penny Edgell, Kathleen E. Hull",Sociological Forum,"Volume 32, Issue 2",First published:22 February 2017,https://onlinelibrary.wiley.com/doi/10.1111/socf.12331
523,"Introduction: Sport,Scienceand SportsScience",Ronald J. Maughan PhD,N/A,N/A,First published:28 November 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781444303315.ch
524,THE INFERENCE THAT MAKESSCIENCE,Ernan McMullin,Zygon®,"Volume 48, Issue 1",First published:24 February 2013,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2012.01319.x
525,THE FAUST CHALLENGE:SCIENCEAS DIABOLIC OR DIVINE,Ingrid H. Shafer,Zygon®,"Volume 40, Issue 4",First published:25 November 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00715.x
526,Humanising forces: Phenomenology inscience; Psychotherapy in technological culture,Les Todres,Counselling and Psychotherapy Research,"Volume 3, Issue 3",First published:18 August 2006,https://onlinelibrary.wiley.com/doi/10.1080/14733140312331384352
527,Scienceengagement as insight into thescienceidentity work nurtured in community-basedscienceclubs,"Lydia E. Carol-Ann Burke, Ana Maria Navas Iannini",Journal of Research inScienceTeaching,"Volume 58, Issue 9",First published:24 May 2021,https://onlinelibrary.wiley.com/doi/10.1002/tea.21714
528,"The History ofScience, Or, an Oxymoronic Theory of Relativistic Objectivity",Ken Alder,N/A,N/A,First published:01 January 2002,https://onlinelibrary.wiley.com/doi/10.1002/9780470998748.ch16
529,Enabling data-driven collaborative and reproducible environmental synthesisscience,"Julien Brun, Nicholas J. Lyon, Angel Chen, Ingrid Slette, Gabriel De La Rosa, Jennifer E. Caselle, Frank W. Davis, Martha R. Downs",Methods in Ecology and Evolution,Early View,First published:15 April 2025,https://onlinelibrary.wiley.com/doi/10.1111/2041-210X.70036
530,Suspending Belief: Epoché in Animal BehaviorScience,Matei Candea,American Anthropologist,"Volume 115, Issue 3",First published:20 August 2013,https://onlinelibrary.wiley.com/doi/10.1111/aman.12026
531,Sense of relatedness andscienceengagement among Filipino high school students,"Jesus Alfonso D. Datu, Amity Noltemeyer",Psychology in the Schools,"Volume 61, Issue 8",First published:03 May 2024,https://onlinelibrary.wiley.com/doi/10.1002/pits.23224
532,The PlantScienceBlogging Project: A curriculum to develop studentsciencecommunicationskills,"Veronica Iriart, Nicole J. Forrester, Tia-Lynn Ashman, Sara E. Kuebbing","Plants, People, Planet","Volume 4, Issue 5",First published:01 July 2022,https://onlinelibrary.wiley.com/doi/10.1002/ppp3.10287
533,Practice-Based Measures of ElementaryScienceTeachers' Content Knowledge for Teaching: Initial Item Development and Validity Evidence,"Jamie N. Mikeska, Geoffrey Phelps, Andrew J. Croft",ETS Research Report Series,"Volume 2017, Issue 1",First published:12 September 2017,https://onlinelibrary.wiley.com/doi/10.1002/ets2.12168
534,The relation between cognitive and metacognitive strategic processing during asciencesimulation,"Daniel L. Dinsmore, Brian P. Zoellner",British Journal of Educational Psychology,"Volume 88, Issue 1",First published:10 August 2017,https://onlinelibrary.wiley.com/doi/10.1111/bjep.12177
535,"Resolving Multiple Visions of Nature,Science, and Religion",James D. Proctor,Zygon®,"Volume 39, Issue 3",First published:12 August 2004,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2004.t01-1-00606.x
